Model,Topic ID,# Issues,Avg Proportion,Top 10 Keywords
LDA,0,1461,0.407,"COMPONENT, DATA, application, CONNECTOR, support, resource, run, SOLUTION, configuration, app"
LDA,1,654,0.188,"index, field, value, term, segment, DATA, document, CONNECTOR, store, api"
LDA,2,521,0.174,"query, COMPONENT, search, parser, filter, SOLUTION, implementation, document, collector, base"
LDA,3,720,0.231,"COMPONENT, DATA, job, task, CONNECTOR, map, time, reduce, memory, run"
BERTopic,0,928,-,"the, to, and, of, is, this, that, in, it, for"
BERTopic,1,293,-,"queue, scheduler, capacity, queues, to, the, fair, in, of, resource"
BERTopic,2,167,-,"metadata, parser, the, to, of, and, text, file, pdf, for"
BERTopic,3,155,-,"timeline, ats, entities, to, entity, flow, the, for, the timeline, and"
BERTopic,4,127,-,"08, nodemanager, 03, nm, rm, 2018, am, info, server, the"
BERTopic,5,92,-,"api, blobstore, cloud, the, s3, to, region, support, aws, provider"
BERTopic,6,85,-,"docker, container, to, executor, container executor, the, image, on, cpu, containers"
BERTopic,7,76,-,"federation, router, cluster, sub, the, jira, sub cluster, to, the router, jira tracks"
BERTopic,8,59,-,"service, services, upgrade, application, api, to, and, ok, for, of"
BERTopic,9,56,-,"log, logs, log aggregation, aggregation, the, logaggregation, java, file, the log, is"
BERTopic,10,49,-,"history, job, history server, the, jobs, files, job history, the job, server, to"
BERTopic,11,46,-,"cve, vulnerability, vulnerable, log4j, version, security, is vulnerable, jar, attacker, to"
BERTopic,12,42,-,"containers, opportunistic, opportunistic containers, container, nm, resource, allocated, node, to, of"
BERTopic,13,41,-,"reduce, map, sort, combiner, the, reducer, hash, merge, to, key"
BERTopic,14,41,-,"job, tasks, task, map, memory, the, of, reduce, to, input"
BERTopic,15,39,-,"cache, shared, the, files, distributed cache, the shared, hdfs, distributedcache, distributed, dfs"
BERTopic,16,36,-,"labels, label, node, node label, node labels, labeled, to, exclusive, resource, nodes"
BERTopic,17,35,-,"reservation, reservations, reservationsystem, jira, 1051, this jira, the reservation, reservations in, plan, the"
BERTopic,18,27,-,"inputformat, to, the, split, record, and, of, for, recordreader, in"
BERTopic,19,24,-,"shuffle, reduce, map, the, output, memory, map output, of, to, version"
BERTopic,20,23,-,"mapreduce, map reduce, reduce, map, and, for, to, hce, pipes, write"
BERTopic,21,22,-,"gpu, device, gpus, csi, framework, plugin, vendor, cost, scheduling, and"
BERTopic,22,22,-,"placement, constraints, placement constraints, tags, constraint, affinity, placement constraint, support, cardinality, rich placement"
BERTopic,23,21,-,"token, java, principal, delegationtokenrenewer, security, service, at, property, delegation, name"
BERTopic,24,17,-,"attributes, node attributes, node, attribute, jira, more like, this jira, cli, to, like this"
BERTopic,25,17,-,"success, mapreduce, info, trunk, mapreduce client, hdfs, client, site, info server, project"
BERTopic,26,16,-,"raid, blocks, files, parity, corrupt, raided, block, the, file, policy"
BERTopic,27,15,-,"nm, rm, resource, heartbeat, support, device resource, unit, the rm, resource types, device"
BERTopic,28,14,-,"key, encryption, keys, encrypt, decrypt, encrypted, data, keystore, safe, secrets"
BERTopic,29,12,-,"123, dns, ip, service, address, ip addresses, registry, addresses, records, to"
BERTopic,30,12,-,"amrmproxy, am, home, responseid, yarnrm, sub, mr, home sub, federationinterceptor, web server"
BERTopic,31,11,-,"auxiliary, auxiliary services, nm, container, services, state, auxiliary service, the nm, service, statemachine"
BERTopic,32,10,-,"committer, files, ssd, recursive, of, gcs, to, for, map, listing"
