token,total_freq,doc_freq,doc_freq_pct
COMPONENT,104,47,0.94
DATA,31,22,0.44
heartbeat,25,7,0.14
SOLUTION,24,17,0.34
memory,23,13,0.26
CONNECTOR,22,21,0.42
api,18,9,0.18
condition,17,13,0.26
token,17,7,0.14
support,16,12,0.24
allocate,14,7,0.14
simultaneously,14,14,0.28
state,13,13,0.26
second,13,13,0.26
currently,13,13,0.26
migrate,13,13,0.26
properly,12,12,0.24
release,12,12,0.24
QUALITY,11,11,0.22
race,11,7,0.14
nodemanager,11,7,0.14
allocation,10,7,0.14
reconnects,9,6,0.12
resourcemanager,9,6,0.12
nullpointerexception,9,6,0.12
context,9,9,0.18
time,9,9,0.18
priority,9,9,0.18
applicationmaster,9,6,0.12
rpc,8,6,0.12
connection,8,6,0.12
schedule,8,6,0.12
high,8,6,0.12
load,8,6,0.12
overcommit,8,7,0.14
launch,7,7,0.14
exactly,7,7,0.14
amount,7,7,0.14
allow,7,7,0.14
physically,7,7,0.14
available,7,7,0.14
rely,7,7,0.14
fact,7,7,0.14
full,7,7,0.14
signature,7,7,0.14
consider,7,7,0.14
insecure,7,7,0.14
sha,7,7,0.14
strong,7,7,0.14
arrive,7,7,0.14
overwrite,7,7,0.14
first,7,7,0.14
timeout,6,6,0.12
throw,6,6,0.12
initialize,6,6,0.12
cause,6,6,0.12
remain,6,6,0.12
unusable,6,6,0.12
create,6,6,0.12
completion,6,6,0.12
lead,6,6,0.12
exhaustion,6,6,0.12
concurrent,6,6,0.12
take,6,6,0.12
per,6,6,0.12
cycle,6,6,0.12
profiling,6,6,0.12
show,6,6,0.12
excessive,6,6,0.12
creation,6,6,0.12
implementation,6,6,0.12
deprecated,6,6,0.12
maintain,6,6,0.12
compatibility,6,6,0.12
future,6,6,0.12
vulnerability,6,6,0.12
retry,4,4,0.08
mechanism,4,4,0.08
failed,4,4,0.08
implement,4,2,0.04
improve,3,3,0.06
centralized,3,3,0.06
aggregation,3,3,0.06
expose,3,3,0.06
rest,3,3,0.06
endpoint,3,3,0.06
cluster,3,3,0.06
status,3,3,0.06
reduce,3,3,0.06
startup,3,3,0.06
lazy,3,3,0.06
initialization,3,3,0.06
component,3,3,0.06
web,3,3,0.06
reach,3,3,0.06
end,3,3,0.06
life,3,3,0.06
know,3,3,0.06
cve,3,3,0.06
dependency,3,3,0.06
optimize,3,3,0.06
serialization,3,3,0.06
prevent,3,2,0.04
circuit,3,2,0.04
breaker,3,2,0.04
deadlock,3,3,0.06
resource,3,3,0.06
flow,3,3,0.06
pluggable,2,2,0.04
policy,2,2,0.04
leak,2,2,0.04
pool,2,2,0.04
safety,2,2,0.04
eviction,2,2,0.04
degradation,2,2,0.04
external,2,2,0.04
sometimes,2,2,0.04
fail,2,2,0.04
due,2,2,0.04
transient,2,2,0.04
error,2,2,0.04
cascade,2,2,0.04
failure,2,2,0.04
across,2,2,0.04
system,2,2,0.04
deprecate,1,1,0.02
old,1,1,0.02
configuration,1,1,0.02
key,1,1,0.02
rotation,1,1,0.02
disk,1,1,0.02
overflow,1,1,0.02
